Index,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,Mid,Share,Comment,Good
10,铭源黄世宏,贵州,male,Lv.9,614,147,115,2019-02-27 15:50:00,2019-03-19 20:38:19,feed,打开方式中无法添加程序，双击文件不能用指定程序打开的解决方法(修改注册表(打开文件命令))今天遇到一个奇怪问题，打开一个从eclipse导出的war包时，在右击的“打开方式”中“浏览”到WinRar的安装目录，点击“确定”，可是在“打开方式”中还是找不到WinRar程序。到网上搜了下，才知道原来是这样一​展开全文c,4344335786966323,0,0,0
11,大妞日代-微信43891819,海外日本,female,Lv.4,6,142,2164,2019-02-27 12:20:00,2019-03-19 20:38:25,feed,Dprogram资生堂专柜旗下敏感肌专用一个低调却又特别牛的牌子和Theginza一样不出口其他国家‼️只在日本有售‼️针对问题性肌肤的专业调理品牌💛黄色系列（油性肌易起痘）💙蓝色（混合性肌水油不平衡）💗粉色（超干性肌发红敏感）💜紫色（抗衰去皱纹保湿）以上系列蓝色跟紫色分清爽、滋润​,4344282993739825,0,0,0
12,竹内柚子膏,其他,female,Lv.23,177,209,865,2019-02-27 09:00:00,2019-03-19 20:38:28,feed,资生堂d-program敏感肌防晒乳一款让我哭泣的防晒乳涂上感觉自己一下子恢复了往日的白让我在肤色恢复期也能自信出门（这个小奶瓶款适合干皮或者不油也不干的皮，大油田移步软管装）​,4344232703180316,0,2,1
13,何晓乐HeXiaole,北京顺义区,male,Lv.33,240,103874,3426,2019-02-26 23:51:00,2019-03-19 20:38:33,feed,"EastMeetsWest-AllChineseLineupEnteringGermanArena东方速度遇上西方赛车：全中国车手阵容出战德国赛场！Thisyear,anall-ChinesenationdriverslineupwillcompeteafewroundsattheNurburgring.StartinginMarch,therewillbeover10raceweekendshostedattheNurb​展开全文c",4344094391541532,23,21,71
14,亮译翻译与出国培训,no location,male,Lv.31,1489,4544,3318,2019-02-26 20:14:00,2019-03-19 20:38:36,feed,"20190226学习要点：（VOA美国地质局推出先进的地震预警系统)1.seismologist/saiz'mɔlədʒist/地震学家2.sophisticatedasophisticatedmachine,system,methodetcisverywelldesignedandveryadvanced,andoftenworksinacomplicatedway〔机器、系统、方法等〕复杂的​展开全文c",4344039874551179,0,1,1
15,禾潼今天还黑么,其他,female,Lv.44,692,951,978,2019-02-25 23:08:00,2019-03-19 20:38:40,feed,//@布须曼鸟:马克//@小只喵斯拉:@布须曼鸟好几样都有意思。比如Dprogram的美白产品。。,4343967354935074,0,0,0
16,布须曼鸟,上海黄浦区,female,Lv.45,552,781,51461,2019-02-25 23:08:00,2019-03-19 20:38:45,feed,马克//@小只喵斯拉:@布须曼鸟好几样都有意思。比如Dprogram的美白产品。。,4343965035404726,1,0,0
17,momezz,其他,female,Lv.9,70,92,4636,2019-02-25 23:08:00,2019-03-19 20:38:48,feed,dprogram,4343724136233393,0,0,0
18,安安是只熊猫猫,上海黄浦区,female,Lv.4,0,1,818,2019-03-17 07:06:00,2019-03-19 20:40:05,feed,"Makeadifference,Pan2019.3.17IthinkthedayIrealizeI’mjustaregularpersoncomesearlierthanIexpected.I’vebeenhavingdreamssincechildhood.Iwantedtobeaprogramhostesslike水钧益attheageof12.IwantedtoworkwithBeckhamattheageof13.Iwantedt​展开全文c",4350726853337689,0,0,0
19,林紫墨,重庆,male,Lv.9,207,32,54,2019-03-13 21:26:00,2019-03-19 20:40:09,feed,greatprogram,4350623577551130,0,0,0
20,summerry_cicada,湖北,female,Lv.45,1280,1520,179,2019-03-16 21:02:00,2019-03-19 20:40:12,feed,🙊这次去日本买的东西全部是“敏感肌”“保湿”。开了一个都快忘记我买过的这个…dprogram什么的一个纸膜…有点方便对于我们这种连纸都不想买的选手来说（拍脑壳购物选手🙊总是买的很奇怪）​,4350574885100560,0,4,0
21,明天开始不熬夜熬夜也不长痘,其他,female,Lv.4,707,110,3038,2019-03-16 20:30:00,2019-03-19 20:40:15,feed,水乳换成dprogram的黄色系列！希望好用嘻嘻嘻嘻嘻嘻嘻嘻嘻嘻嘻嘻嘻嘻​,4350566882756197,0,0,0
22,起舞动乾坤,北京,female,Lv.4,1,28,6492,2019-03-16 16:00:00,2019-03-19 20:40:18,feed,VideoDanceProgramjuillet2014-Ledéménagement(stagedanse)L起舞动乾坤的微博视频,4350498821510689,0,0,0
23,红豆麻麻日本代GO,海外日本,female,Lv.42,405,1589,13734,2019-03-16 11:49:00,2019-03-19 20:40:21,feed,📣📣采购直播📣📣最近超级人气的dprogram美容液bb。一瓶含防灰尘，紫外线，美容液，遮暇，妆容持久，隔离的六大功能。这个系列，敏感肌也能闭着眼睛入。​,4350435719025938,0,0,0
24,超幸运Alana,北京西城区,female,Lv.33,189,123,1627,2019-03-16 11:01:00,2019-03-19 20:40:24,feed,#emptiesOF₂₀₁₉#dprogram防晒。包装很可爱像小奶瓶小小一罐，不过容量并不小，涂改液质地，挺耐用的。无刺激无香味，很柔和，不拔干，稍微有点泛白，不会有油光，后续压不压散粉都行。日常通勤用足够了，更适合混油皮的秋冬或者初春，夏天肯定不行了。可以考虑回购。Kiehls夜间修复精华。最开​展开全文c,4350423676433652,0,1,0
25,可达鹅叔,河北秦皇岛,male,Lv.20,230,10381,213,2019-03-16 09:29:00,2019-03-19 20:40:27,feed,资生堂dprogram的物理防晒隔离乳绰号小奶瓶白色乳液很好推开不会泛白可以防空气中的微粒子如雾霾、花粉、粉尘等等敏感肌、孕妇甚至宝宝都可以用无香料、无酒精、无矿物油、无防腐剂，低刺激配方。​,4350400477626017,0,0,0
26,莹莹是球球,海外美国,female,Lv.30,462,379,2424,2019-03-16 05:49:00,2019-03-19 20:40:29,feed,"ItjustmakesmoresensetospeakEnglishsometimes.SomewordsjustcannottouchthepointinChinese,orinthisway,Idon'tknowtheaccuratewaytosayitinmylanguage.IthinknowItotallyunderstandpeoplewhocode-switchintheirdailytalks.Itjustmakesmoresense.​展开全文c",4350345024845790,0,0,0
27,亦可也凑合,海外德国,female,Lv.31,222,8450,4457,2019-03-16 01:00:00,2019-03-19 20:40:32,feed,#德国工作机会#奥格斯堡招聘实习生INTERNPROGRAMCONTROLLING(M/F/D)-FIN16102Function:FinanceLocalization:Germany-Bavaria-AugsburgContracttype:InternshipPublicationdate:13thMarch2019Newtrendsandexpectationsarereshapingtheautomotiveindustry.Inspiredb​展开全文c,4350272300187893,1,0,1
28,用户0677049642,北京东城区,male,Lv.4,58,34,833,2019-03-15 21:17:00,2019-03-19 20:40:35,feed,"""MICHAELH.POPKIN,PH.D.,pioneeredthefieldofvideo-basedparenteducationwiththeintroductionoftheActiveParentingDiscussionProgramin1983.SincethenhehasauthoredandproducedmorethanthirtybooksandO网页链接",4350216272908515,0,0,0
29,不如跳舞谈恋爱不如跳舞,北京,female,Lv.4,1,32,6830,2019-03-15 17:00:00,2019-03-19 20:40:38,feed,VideoDanceProgramjuillet2014-Ledéménagement(stagedanse)L不如跳舞谈恋爱不如跳舞的微博视频,4350151532887236,0,0,0
30,dprogram安肌心语,no location,female,Lv.4,8,379,6,2019-03-15 17:00:00,2019-03-19 20:40:41,feed,最近收到很多敏感星人们的询问@小精灵blingbling1711@啦啦啦啦啦6020466078@冬眠的小狸，“哪里可以买到？”“什么地方有售？”等等，请大家再耐心等待一下，dprogram4月就会正式在屈臣氏实体门店和天猫官方旗舰店开售啦～具体日期敬请期待哦～,4350151508616961,0,17,6
31,GoogleDoodle,海外美国,male,Lv.17,4,131,2257,2019-03-15 13:50:00,2019-03-19 20:40:43,feed,"2019年3月14日Dr.MatildeMontoya’s160thBirthdayToday’sDoodlecelebratesDr.MatildeMontoya,whoovercamenumerousobstaclestobecomethefirstfemalephysicianinMexico.PetitioningtheMexicanpresidentandothergovernmentofficialstoopendoorstotheNationalMedic​展开全文c",4350103743101663,0,0,1
32,爱琴家乐器商城,no location,male,Lv.9,195,247,610,2019-03-15 12:33:00,2019-03-19 20:40:45,feed,2019未来大师，独奏重奏系列音乐会致敬大师·门德尔松与柴科夫斯基葡萄牙-大师钢琴三重奏音乐会，3月24日在东方艺术中心举行，有时间的朋友不妨去听听，学习提升一下！音乐会曲目PROGRAM舒伯特|夜曲门德尔松|d小调钢琴三重奏柴科夫斯基|a小调钢琴三重奏,4350084311343017,0,0,0
33,土耳其驻上海总领事馆,no location,male,Lv.8,23,970,177,2019-03-15 12:27:00,2019-03-19 20:40:48,feed,"""MontheBund""tarafındandüzenlenen""ShanghiLiteraryFestival2019""aödüllüyazarımızSemaKaygusuzkatılacaktır.Yazarımız,17Mart2019Pazargünüsaat14.00'da""Roots:Folktales,LegendsandStoriesthatInspireModernWritingToday""adlıbirsunumyapacaktır.Fest​展开全文c",4350082931090180,0,0,0
34,没了泰迪丢了自己,辽宁,male,Lv.14,29,76,169,2014-04-06 21:03:00,2019-03-19 20:40:52,feed,//@Photoshop大师:安装小提示：1、解压文件后，直接用photoshop运行打开载入2、打开Photoshop——编辑——预设管理器——预设类型（画笔）——载入文件3、找到安装原文件夹例（D:\ProgramFiles\AdobePhotoshopCS6\Presets\Brushes）将笔刷文件拷贝进去。,4350072076932512,0,0,0
35,惠煜中,陕西西安,male,Lv.26,204,163,205,2019-03-15 11:28:00,2019-03-19 20:40:54,feed,"HowtoCreatingtheWrapperLibraryinwindows64?Iusevs2013+ivf2013programmyfortrancode,TheFFTW2wrapperstoIntelMKLprovidethefollowingsubroutinesforcallingfromFortran:callfftw_f77_create_plan(plan,n,dir,flags)callfftw_f77(plan,howmany,in,istride,idi​展开全文c",4350067986961066,0,3,0
36,ailikajiee,其他,male,Lv.4,71,15,1,2019-03-13 21:26:00,2019-03-19 20:40:57,feed,很有趣的节目，支持做下去😘interestingprogram，andyouhavemysupporthere😘,4350000928262722,0,0,0
37,YeePing306,海外,female,Lv.25,235,179,1628,2019-03-15 00:22:00,2019-03-19 20:42:25,feed,涛涛正能量学习群D814.03.2019@LT-涛涛正能量学习群哈哈，今天终于上升为LV.12了每一天不忘地签到评论赚积分，为了涛涛还真的是坚持下去晚上8到10点的补课，听到整个人晕晕的，吸收不了，感觉有出席和没出席都没差想到就要小考了，不紧张都假图二是今天上完课​展开全文c,4349900411715277,0,0,0
38,JK日常,海外,female,Lv.44,1994,283894,154005,2019-03-14 23:04:00,2019-03-19 20:42:28,feed,【日常】因为最近可能要外出一段时间，所以想问问请问各位漂亮妹妹们有没有推荐的品牌方有出售的试用装啊，一整套的那种。现在已知的有珂润，freeplus，还有dprogram，这里是油皮现在在北方有点变混油。顺便问一问有无适合油皮的面霜呢，搜过但是推的都太两极分化了，不是sk2海蓝之谜这种太贵妇的就​展开全文c,4349880716204512,4,43,20
39,-Little_Xian-,海外,female,Lv.42,181,410,10844,2019-03-14 10:11:00,2019-03-19 20:42:31,feed,//@属麻雀的小仓鼠:马//@菊弯弯:🐴//@尼崎首席美甲师王安田_早大祈愿:dprogram真的好用！！！//@Ecila無限大:哇！松子太太代言！心动！//@Leeenaaaaa:哈哈哈松子代言！！！我明天就去买www,4349871530126938,0,0,0
40,小甜圆饼干,香港,female,Lv.9,217,53,9,2019-03-08 00:05:00,2019-03-19 20:42:34,feed,一个sad的repo，用了两天之后起了七个痘，虽然不知道是不是它的原因，但是周日要拍毕业照的我非常伤心并且把dprogram用出了小凹,4349869633851842,0,0,0
41,夏天总长痱子的美少女,浙江杭州,female,Lv.38,275,127,148,2019-03-14 10:11:00,2019-03-19 20:42:38,feed,//@嗑物昂:哇？//@二花家的二绿:马//@K-onamonmon:🐎//@尼崎首席美甲师王安田_早大祈愿:dprogram真的好用！！！//@Ecila無限大:哇！松子太太代言！心动！//@Leeenaaaaa:哈哈哈松子代言！！！我明天就去买www,4349869521089104,0,0,1
42,BoJapan播日本,海外日本,female,Lv.24,1168,178322,1189,2019-03-14 21:00:00,2019-03-19 20:42:42,feed,#BoJapan资讯#资生堂公司调查说日本女性一年平均有3500小时都涂抹粉底，大部分人都认为粉底对肌肤有害因此，资生堂第一弹主推dprogram和HAKU的两款护肤粉底。dprogram粉底时药用护肤上妆效果自然，价格为2800日元（不含税）。HAKU粉底具有美白提亮的功效。Ps，新广告起用了松子，3月21日​展开全文c,4349849518151622,7,11,14
43,车干-人間失格,其他,female,Lv.35,211,213,3508,2019-03-14 10:11:00,2019-03-19 20:42:46,feed,马了//@K-onamonmon:🐎//@尼崎首席美甲师王安田_早大祈愿:dprogram真的好用！！！//@Ecila無限大:哇！松子太太代言！心动！//@Leeenaaaaa:哈哈哈松子代言！！！我明天就去买www,4349849425706227,0,0,0
44,湿黄黏腻驴好美,其他,male,Lv.35,201,280,13363,2019-03-14 10:11:00,2019-03-19 20:42:51,feed,啊！松子好漂亮！//@豆豆本豆豆豆豆奶:马想拥有//@二花家的二绿:马//@K-onamonmon:🐎//@尼崎首席美甲师王安田_早大祈愿:dprogram真的好用！！！//@Ecila無限大:哇！松子太太代言！心动！//@Leeenaaaaa:哈哈哈松子代言！！！我明天就去买www,4349836663118576,0,0,0
45,好看博物馆,北京,female,Lv.4,4,11698,19,2019-03-14 20:03:00,2019-03-19 20:42:58,feed,#只看包装买东西#Dprogram身体乳和洗发液都是无香的身体乳质地很不错，丝润感，很好涂抹，没有一丝粘腻感也有足够润度，配方也温和洗发液也是温和配方，好搓泡好冲洗，洗完顺滑不干涩，就是没有一点控油力，蓬松感最多从早上维持到晚上，隔夜都不行，就会塌​,4349835165271570,3,28,39
46,BuiltHeritage_建成遗产,no location,female,Lv.9,66,322,254,2019-03-14 19:02:00,2019-03-19 20:43:00,feed,"#建成遗产客座主编讲座#NextTuesdaywewillbehostingProfessorRosemaryWakemanfromFordhamUniversityforherlectureontheconnectionsbetweenthreeglobalcities:Shanghai,MumbaiandLondon.Acaptivatingresearchprojectthatshewillbeconductinginthecomingweeksin​展开全文c",4349820040134207,2,0,0
47,SAYOKO-EITOMANIA,海外,female,Lv.48,227,460,19921,2019-03-14 10:11:00,2019-03-19 20:43:10,feed,dprogram可以期待//@阿丸鲑鱼干://@-Hakuta-:心动诶！！！//@苗字为錦戸家梓凌Biu:哇！//@Ecila無限大:哇！松子太太代言！心动！//@Leeenaaaaa:哈哈哈松子代言！！！我明天就去买www,4349816672548162,0,2,0
48,属麻雀的小仓鼠,其他,female,Lv.37,255,96,3689,2019-03-14 10:11:00,2019-03-19 20:43:13,feed,马//@菊弯弯:🐴//@尼崎首席美甲师王安田_早大祈愿:dprogram真的好用！！！//@Ecila無限大:哇！松子太太代言！心动！//@Leeenaaaaa:哈哈哈松子代言！！！我明天就去买www,4349797554944786,1,0,0
49,crossriverrrr,其他,female,Lv.29,198,182,540,2019-03-14 10:11:00,2019-03-19 20:43:16,feed,//@Aries-dreamer:松子代言的要码下来//@北冥有熊屁股翘:马克，药用粉底//@二花家的二绿:马//@K-onamonmon:🐎//@尼崎首席美甲师王安田_早大祈愿:dprogram真的好用！！！//@Ecila無限大:哇！松子太太代言！心动！//@Leeenaaaaa:哈哈哈松子代言！！！我明天就去买www,4349784254912024,0,0,0
50,舞蹈最前线,北京,female,Lv.4,61,56,2899,2019-03-14 16:00:00,2019-03-19 20:43:20,feed,VideoDanceProgramjuillet2014-Ledéménagement(stagedanse)L舞蹈最前线的微博视频,4349774050870546,0,0,0
51,Aries-dreamer,广东,female,Lv.41,399,183,6893,2019-03-14 10:11:00,2019-03-19 20:43:23,feed,松子代言的要码下来//@北冥有熊屁股翘:马克，药用粉底//@二花家的二绿:马//@K-onamonmon:🐎//@尼崎首席美甲师王安田_早大祈愿:dprogram真的好用！！！//@Ecila無限大:哇！松子太太代言！心动！//@Leeenaaaaa:哈哈哈松子代言！！！我明天就去买www,4349772607266362,1,0,0
52,嗑物昂,海外美国,male,Lv.29,132,268,4253,2019-03-14 10:11:00,2019-03-19 20:43:26,feed,哇？//@二花家的二绿:马//@K-onamonmon:🐎//@尼崎首席美甲师王安田_早大祈愿:dprogram真的好用！！！//@Ecila無限大:哇！松子太太代言！心动！//@Leeenaaaaa:哈哈哈松子代言！！！我明天就去买www,4349759299380548,1,0,1
53,dprogram安肌心语,no location,female,Lv.4,8,379,6,2019-03-14 15:00:00,2019-03-19 20:43:29,feed,敏感星人最需要什么？安心安全的成分？敏感星人不仅需要安心安全，更需要卓效的针对性成分！dprogram特别添加了氨甲环酸，帮住调节肌肤紊乱状态，只为实现安护敏感（defense），焕发肌肤健康透亮光彩。独特配方H-A稳定复合因子*，修护并强韧角质层，提升美肌屏障功能，帮助养成美肌（dev​展开全文c,4349758921233541,0,3,6
54,瓶子aaaaa,天津,female,Lv.43,544,892,5730,2019-03-14 10:11:00,2019-03-19 20:43:31,feed,我又心动了@阿源酱（松子这个指甲好看哭了）//@丸山栗子://@豆豆本豆豆豆豆奶:马想拥有//@二花家的二绿:马//@K-onamonmon:🐎//@尼崎首席美甲师王安田_早大祈愿:dprogram真的好用！！！//@Ecila無限大:哇！松子太太代言！心动！//@Leeenaaaaa:哈哈哈松子代言！！！我明天就去买www,4349754580063506,0,0,0
55,Maruyama_kuriko,海外,male,Lv.42,1030,433,24327,2019-03-14 10:11:00,2019-03-19 20:43:34,feed,//@豆豆本豆豆豆豆奶:马想拥有//@二花家的二绿:马//@K-onamonmon:🐎//@尼崎首席美甲师王安田_早大祈愿:dprogram真的好用！！！//@Ecila無限大:哇！松子太太代言！心动！//@Leeenaaaaa:哈哈哈松子代言！！！我明天就去买www,4349749580528279,1,0,0
56,北冥有熊屁股翘,北京西城区,female,Lv.23,271,77,3537,2019-03-14 10:11:00,2019-03-19 20:43:38,feed,马克，药用粉底//@二花家的二绿:马//@K-onamonmon:🐎//@尼崎首席美甲师王安田_早大祈愿:dprogram真的好用！！！//@Ecila無限大:哇！松子太太代言！心动！//@Leeenaaaaa:哈哈哈松子代言！！！我明天就去买www,4349749152659110,2,0,1
57,海琴OAO,北京丰台区,female,Lv.32,516,187,4385,2019-03-14 10:11:00,2019-03-19 20:44:53,feed,光凭松子代言我就好心动哈哈哈哈哈//@二花家的二绿:马//@K-onamonmon:🐎//@尼崎首席美甲师王安田_早大祈愿:dprogram真的好用！！！//@Ecila無限大:哇！松子太太代言！心动！//@Leeenaaaaa:哈哈哈松子代言！！！我明天就去买www,4349748938954267,0,0,0
58,哔哔种在沙发上说,上海宝山区,female,Lv.48,663,1663,4779,2019-03-14 10:11:00,2019-03-19 20:44:56,feed,哦？观望一下//@豆豆本豆豆豆豆奶:马想拥有//@二花家的二绿:马//@K-onamonmon:🐎//@尼崎首席美甲师王安田_早大祈愿:dprogram真的好用！！！//@Ecila無限大:哇！松子太太代言！心动！//@Leeenaaaaa:哈哈哈松子代言！！！我明天就去买www,4349748754419533,0,0,0
59,豆豆本豆豆豆豆奶,天津,female,Lv.32,336,220,5501,2019-03-14 10:11:00,2019-03-19 20:45:00,feed,马想拥有//@二花家的二绿:马//@K-onamonmon:🐎//@尼崎首席美甲师王安田_早大祈愿:dprogram真的好用！！！//@Ecila無限大:哇！松子太太代言！心动！//@Leeenaaaaa:哈哈哈松子代言！！！我明天就去买www,4349748431054522,4,0,2
60,二花家的二绿,江苏,female,Lv.44,633,481,17668,2019-03-14 10:11:00,2019-03-19 20:45:06,feed,马//@K-onamonmon:🐎//@尼崎首席美甲师王安田_早大祈愿:dprogram真的好用！！！//@Ecila無限大:哇！松子太太代言！心动！//@Leeenaaaaa:哈哈哈松子代言！！！我明天就去买www,4349747487374875,11,0,0
61,All_for_kimitaka,上海静安区,female,Lv.31,150,84,3923,2019-03-14 10:11:00,2019-03-19 20:45:09,feed,//@菊弯弯:🐴//@尼崎首席美甲师王安田_早大祈愿:dprogram真的好用！！！//@Ecila無限大:哇！松子太太代言！心动！//@Leeenaaaaa:哈哈哈松子代言！！！我明天就去买www,4349747219109291,0,0,0
62,_HiraiYeon_,福建泉州,female,Lv.4,1235,155,1533,2018-07-06 18:43:00,2019-03-19 20:45:13,feed,//@功课菌:Boscia清洁面膜，Origins祛痘凝胶，露得清蓝光面罩，爱诗妍果酸棉片，依泉喷雾，DProgram蓝色水、乳、黄色乳液、物理防晒，SKII神仙水，SANA豆乳眼霜，城野医生VC100精华，EltaMd防晒，FANCL卸妆，Philosopy洁面，城野医生APPS美白精华，理肤泉A醇眼霜，倩碧抗皱眼霜，MartidermDSP晚霜，C,4349746397206293,0,0,0
63,K-onamonmon,河南,female,Lv.40,195,526,4113,2019-03-14 10:11:00,2019-03-19 20:45:18,feed,🐎//@尼崎首席美甲师王安田_早大祈愿:dprogram真的好用！！！//@Ecila無限大:哇！松子太太代言！心动！//@Leeenaaaaa:哈哈哈松子代言！！！我明天就去买www,4349742160442845,13,0,1
64,梅雨色小唄,其他,female,Lv.47,410,1389,4994,2019-03-14 10:11:00,2019-03-19 20:45:22,feed,🐴//@尼崎首席美甲师王安田_早大祈愿:dprogram真的好用！！！//@Ecila無限大:哇！松子太太代言！心动！//@Leeenaaaaa:哈哈哈松子代言！！！我明天就去买www,4349737148827992,3,0,0
65,攻呆-头像所说,福建福州,female,Lv.46,4035,938,18462,2019-03-14 10:11:00,2019-03-19 20:45:25,feed,松子!//@小Y_SUZUKI:心动了！！//@尼崎首席美甲师王安田_早大祈愿:dprogram真的好用！！！//@Ecila無限大:哇！松子太太代言！心动！//@Leeenaaaaa:哈哈哈松子代言！！！我明天就去买www,4349730752952143,0,0,0
66,LLLLee烤鱼-,广西南宁,female,Lv.44,442,625,7797,2019-03-14 10:11:00,2019-03-19 20:45:27,feed,//@尼崎首席美甲师王安田_早大祈愿:dprogram真的好用！！！//@Ecila無限大:哇！松子太太代言！心动！//@Leeenaaaaa:哈哈哈松子代言！！！我明天就去买www,4349728097076756,0,0,0
67,小Y_SUZUKI,福建福州,female,Lv.39,697,634,9442,2019-03-14 10:11:00,2019-03-19 20:45:31,feed,心动了！！//@尼崎首席美甲师王安田_早大祈愿:dprogram真的好用！！！//@Ecila無限大:哇！松子太太代言！心动！//@Leeenaaaaa:哈哈哈松子代言！！！我明天就去买www,4349726482635891,1,0,1
68,暂无不良反应,海外日本,female,Lv.14,238,35,665,2019-03-14 10:11:00,2019-03-19 20:46:38,feed,心动！//@尼崎首席美甲师王安田_早大祈愿:dprogram真的好用！！！//@Ecila無限大:哇！松子太太代言！心动！//@Leeenaaaaa:哈哈哈松子代言！！！我明天就去买www,4349715467803990,0,0,0
69,尼崎首席美甲师王安田_早大祈愿,海外美国,female,Lv.46,324,1085,58889,2019-03-14 10:11:00,2019-03-19 20:46:42,feed,dprogram真的好用！！！//@Ecila無限大:哇！松子太太代言！心动！//@Leeenaaaaa:哈哈哈松子代言！！！我明天就去买www,4349714881790852,22,0,0
70,用户6759074118,海外日本,female,Lv.4,115,30,359,2019-03-14 10:58:00,2019-03-19 20:46:45,feed,【🇯🇵资生堂dprogram系列】🌸🌸敏感话题水乳保湿平衡修复护肤品套装，不仅颜值高，也真的很好用。💕蓝色：水油平衡💕黄色：痘痘肌用💕粉色：深度补水💕紫色：老化干燥、抗皱。总有一款适合你​,4349698158612273,0,0,0
71,日本万事屋,no location,female,Lv.14,154,7700,11034,2019-03-14 10:11:00,2019-03-19 20:46:53,feed,马一个Dprogram，haku的之前在药妆店试了下感觉一般，可能比较适合干皮~,4349693100533414,0,1,0
72,onecosme,no location,female,Lv.48,739,2037735,67221,2019-03-14 10:11:00,2019-03-19 20:46:57,feed,冲着松子出演CM我就想买了松子是不是慢慢进入美妆界了资生堂新药用养肤粉底系列「薬用CareHybridFoundation」，是经过对日常使用粉底人群研究，每年使用平均时间达3500小时，意在经历带妆时间后素肌也能保持美丽。.第一弹由D-program推出药用粉饼，3月21日HAKU将发布药用美白美​展开全文c,4349686272131735,306,54,229
