Index	Account	Location	Gender	Rank	Follow	Follower	Weibo	FeedTime	GetTime	Type	Mid	Share	Comment	Good
53	"福森制图非种菜"	"海外日本"	female	Lv.14	852	200	724	"2018-12-08 21:30:00"	"2019-03-20 02:03:24"	feed	4315067828636705.0	0	0	0
54	"桜花兔-Rita"	"广东深圳"	female	Lv.14	304	137	216	"2018-12-08 14:37:00"	"2019-03-20 02:04:14"	feed	4314963977556746.0	0	0	0
55	"八月的吖"	"广东"	female	Lv.9	195	884	233	"2018-12-08 13:45:00"	"2019-03-20 02:05:04"	feed	4314950933663087.0	0	1	0
56	"SUGI藥局"	"no location"	female	Lv.5	35	21422	197	"2018-12-08 13:03:00"	"2019-03-20 02:05:07"	feed	4314940238153532.0	1	0	3
57	ming816817	"河北廊坊"	female	Lv.4	65	162	1017	"2018-12-08 11:12:00"	"2019-03-20 02:05:10"	feed	4314912349728775.0	0	0	0
58	"米奇香港站"	"广东"	female	Lv.9	57	211	2521	"2018-12-07 22:52:00"	"2019-03-20 02:05:20"	feed	4314726114434466.0	0	0	0
59	"米奇香港站"	"广东"	female	Lv.9	57	211	2521	"2018-12-07 22:51:00"	"2019-03-20 02:05:22"	feed	4314725871247413.0	0	0	0
60	"鱼q韩代-代购"	"湖南"	female	Lv.39	416	7130	25327	"2018-12-07 21:31:00"	"2019-03-20 02:05:23"	feed	4314705696904877.0	0	0	0
61	"用户5313557191"	"其他"	female	Lv.4	26	10	150	"2018-12-07 17:45:00"	"2019-03-20 02:05:29"	feed	4314648859445906.0	0	0	0
62	"用户6106669298"	"其他"	female	Lv.6	275	10	95	"2018-12-07 14:46:00"	"2019-03-20 02:05:31"	feed	4314603892945391.0	0	0	0
63	"风凡世界·洋葱OMALL"	"广东中山"	male	Lv.9	126	156	745	"2018-12-07 13:02:00"	"2019-03-20 02:05:34"	feed	4314577695239132.0	0	0	0
64	"香港代购lescar精致店"	"其他"	male	Lv.9	181	479	7573	"2018-12-07 12:50:00"	"2019-03-20 02:05:36"	feed	4314574641358435.0	0	0	0
65	"英国Winishop日韩美妆网"	"海外"	female	Lv.37	5080	8242	4669	"2018-12-07 02:33:00"	"2019-03-20 02:05:44"	feed	4314419498290460.0	0	0	1
66	"用户6560140865"	"其他"	female	Lv.3	75	3	3	"2018-12-07 00:48:00"	"2019-03-20 02:05:47"	feed	4314393032393235.0	0	0	0
67	"蟹老板小买手"	"香港其他"	female	Lv.42	2803	1519	18734	"2018-12-06 15:13:00"	"2019-03-20 02:05:50"	feed	4314248325213649.0	0	0	0
68	"蟹老板小买手"	"香港其他"	female	Lv.42	2803	1519	18734	"2018-12-06 15:13:00"	"2019-03-20 02:05:53"	feed	4314248219857991.0	0	0	0
69	"蟹老板小买手"	"香港其他"	female	Lv.42	2803	1519	18734	"2018-12-06 15:13:00"	"2019-03-20 02:05:55"	feed	4314248165554213.0	0	0	0
70	"蟹老板小买手"	"香港其他"	female	Lv.42	2803	1519	18734	"2018-12-06 15:12:00"	"2019-03-20 02:07:46"	feed	4314248106762664.0	0	0	0
71	"小mm代购ing"	"浙江温州"	female	Lv.26	333	263	3056	"2018-12-06 14:53:00"	"2019-03-20 02:08:06"	feed	4314243245703093.0	0	0	1
72	"李公子_LILI"	"海外日本"	female	Lv.25	151	8061	226	"2018-12-05 22:08:00"	"2019-03-20 02:08:33"	feed	4313990362159103.0	0	0	1
73	"日本代购西米"	"海外日本"	female	Lv.27	178	373875	7806	"2018-12-05 21:55:00"	"2019-03-20 02:08:55"	feed	4313987124306327.0	0	0	0
74	"一个被吃吃吃拐走的代购慕"	"广东深圳"	male	Lv.9	25	1548	235	"2018-12-05 17:55:00"	"2019-03-20 02:09:16"	feed	4313926554125877.0	0	0	0
75	"Curel珂润"	"no location"	female	Lv.41	146	44572	6401	"2018-12-05 17:54:00"	"2019-03-20 02:09:36"	feed	4313926445625004.0	39	130	22
76	"Caiping是代购呀"	"海外其他"	female	Lv.33	411	4092	5943	"2018-12-05 15:06:00"	"2019-03-20 02:10:00"	feed	4313884229404039.0	0	0	0
77	"萱s日本直邮店"	"海外日本"	female	Lv.48	882	13307	23470	"2018-12-05 12:23:00"	"2019-03-20 02:10:19"	feed	4313843175680696.0	0	0	0
78	"嘀嘀麦姐"	"福建"	female	Lv.8	10	33	87	"2018-12-05 11:35:00"	"2019-03-20 02:10:41"	feed	4313831053848402.0	0	0	0
79	"巴黎草莓美妝"	"no location"	male	Lv.47	364	77964	10891	"2018-12-05 11:26:00"	"2019-03-20 02:10:56"	feed	4313828672052788.0	0	0	1
80	"毛毛北海道日本代购"	"海外日本"	female	Lv.48	1341	224315	104526	"2018-12-05 10:38:00"	"2019-03-20 02:11:10"	feed	4313816701502931.0	0	6	0
81	"靓妆伊人美妆"	"广东广州"	female	Lv.28	133	1009	10962	"2018-12-04 22:32:00"	"2019-03-20 02:11:32"	feed	4313633909737651.0	0	0	0
82	DidiLam迪迪	"香港其他"	female	Lv.4	47	10	33	"2018-12-04 21:43:00"	"2019-03-20 02:11:54"	feed	4313621608053632.0	0	0	0
83	"划算小哥"	"重庆大渡口区"	male	Lv.35	355	14323	30971	"2018-12-04 20:53:00"	"2019-03-20 02:12:10"	feed	4313609145839340.0	0	3	0
84	"优惠女孩的日常"	"海外"	female	Lv.38	556	2467604	25940	"2018-12-04 20:38:00"	"2019-03-20 02:12:24"	feed	4313605413196345.0	1	1049	79
85	"初初时尚全球购"	"河北唐山"	female	Lv.9	361	332	4999	"2018-12-04 19:57:00"	"2019-03-20 02:12:45"	feed	4313595070233754.0	0	0	0
86	"淘气宝贝心"	"浙江"	female	Lv.48	799	12017	25790	"2018-12-04 19:35:00"	"2019-03-20 02:13:02"	feed	4313589491405572.0	0	0	2
87	"爱脸红的猫咪"	"湖北"	female	Lv.4	62	73	162	"2018-12-04 17:13:00"	"2019-03-20 02:13:24"	feed	4313553655158227.0	0	0	0
88	"蜜雪儿JAN"	"海外日本"	female	Lv.45	25	447	9291	"2018-12-04 15:50:00"	"2019-03-20 02:16:07"	feed	4313532939554424.0	0	0	0
89	"海淘省钱快报"	"no location"	male	Lv.41	94	145029	33104	"2018-12-04 15:20:00"	"2019-03-20 02:16:28"	feed	4313525314290261.0	0	0	0
90	"朵儿日本直邮代购"	"其他"	female	Lv.28	612	171	89	"2018-12-04 15:05:00"	"2019-03-20 02:16:48"	feed	4313521463757871.0	0	2	1
91	"夜夜家全球购"	"no location"	female	Lv.48	839	25651	21045	"2018-12-04 15:04:00"	"2019-03-20 02:17:08"	feed	4313521245966465.0	0	3	5
92	"夜夜家全球购"	"no location"	female	Lv.48	839	25651	21045	"2018-12-04 15:02:00"	"2019-03-20 02:17:26"	feed	4313520679434637.0	0	2	0
93	"牛奶栗子壳"	"江苏徐州"	female	Lv.9	385	163	732	"2018-12-04 12:57:00"	"2019-03-20 02:17:39"	feed	4313489189665053.0	0	0	0
94	"SUPERNANA香港代购"	"香港黄大仙区"	female	Lv.48	347	14063	6572	"2018-12-04 10:41:00"	"2019-03-20 02:18:00"	feed	4313454984638823.0	0	0	1
95	"UU淘世界团购网"	"no location"	female	Lv.43	130	230841	22995	"2018-12-04 09:35:00"	"2019-03-20 02:18:18"	feed	4313438341769863.0	0	2	0
96	"UU淘世界团购网"	"no location"	female	Lv.43	130	230841	22995	"2018-12-04 09:25:00"	"2019-03-20 02:18:34"	feed	4313435824720625.0	0	0	0
97	"寜家HK代購"	"广东汕头"	female	Lv.31	103	339	1659	"2018-12-04 00:09:00"	"2019-03-20 02:18:55"	feed	4313295953546440.0	0	0	0
98	Dolly91	"河北石家庄"	female	Lv.34	397	1316	5088	"2018-12-03 23:48:00"	"2019-03-20 02:19:13"	feed	4313290668886072.0	0	0	0
99	"象象代理"	"其他"	female	Lv.4	1	8	139	"2018-12-03 23:33:00"	"2019-03-20 02:19:34"	feed	4313286999207123.0	0	0	0
100	"新蕾维良"	"山东济南"	female	Lv.29	1805	1003	1966	"2018-12-03 22:25:00"	"2019-03-20 02:19:54"	feed	4313269843626940.0	0	0	0
101	"一枚三文鱼寿司"	"海外"	female	Lv.39	543	202	6185	"2018-12-03 13:16:00"	"2019-03-20 02:20:14"	feed	4313131566727349.0	0	16	0
102	"寶健大藥房"	"香港"	male	Lv.37	381	2330	6585	"2018-12-03 13:08:00"	"2019-03-20 02:20:35"	feed	4313129632657434.0	0	0	0
103	"马云爸爸的小员工"	"其他"	female	Lv.4	29	7	86	"2018-12-03 12:36:00"	"2019-03-20 02:20:55"	feed	4313121587998443.0	0	0	0
104	"糯米酱日澳生活馆"	"浙江宁波"	male	Lv.47	1645	10785	16304	"2018-12-03 11:54:00"	"2019-03-20 02:21:13"	feed	4313111026200126.0	0	0	0
105	Sxm5558350012	"其他"	female	Lv.9	367	134	291	"2018-12-03 10:25:00"	"2019-03-20 02:21:34"	feed	4313088540843113.0	0	0	0
106	"蜜源邀请码33HZQK"	"四川"	female	Lv.9	119	105	1332	"2018-12-03 07:52:00"	"2019-03-20 02:23:02"	feed	4313050166995570.0	0	0	0
107	"澳洲珀斯日韩美淘铺"	"海外澳大利亚"	female	Lv.22	499	252	1972	"2018-12-03 06:43:00"	"2019-03-20 02:23:26"	feed	4313032730946961.0	0	0	0
108	"陈青青说日韩泰Shopping"	"福建"	female	Lv.31	283	481	631	"2018-12-02 23:54:00"	"2019-03-20 02:23:46"	feed	4312929887068116.0	0	0	0
109	"盼盼日韩泰代购招代理"	"河南"	female	Lv.27	398	304	603	"2018-12-02 22:28:00"	"2019-03-20 02:24:04"	feed	4312908286585161.0	0	0	0
110	"普通美女曾美丽"	"湖南"	female	Lv.42	162	10876	952	"2018-12-02 19:35:00"	"2019-03-20 02:24:20"	feed	4312864712047150.0	0	4	1
111	"日本代购macysl口红种草试色推荐"	"海外日本"	female	Lv.33	386	210109	13676	"2018-12-02 14:21:00"	"2019-03-20 02:24:39"	feed	4312785565338734.0	0	0	0
112	"风中奇缘香港代购"	"广东深圳"	female	Lv.22	408	1689	22728	"2018-12-01 21:16:00"	"2019-03-20 02:24:53"	feed	4312527737437057.0	0	0	0
113	"豆腐小姐日本代购"	"广东广州"	female	Lv.9	244	224	564	"2018-12-01 20:10:00"	"2019-03-20 02:25:11"	feed	4312511043862202.0	0	0	0
114	"是迪拜小胖妞呀"	"安徽"	female	Lv.29	117	293	836	"2018-12-01 19:35:00"	"2019-03-20 02:25:29"	feed	4312502306720323.0	0	0	0
115	"正品彩妆货源供应"	"海外其他"	female	Lv.26	334	11378	1190	"2018-12-01 16:13:00"	"2019-03-20 02:25:51"	feed	4312451547266169.0	0	0	0
116	"百炼成钢179"	"新疆博尔塔拉"	male	Lv.8	420	1066	75	"2018-12-01 16:09:00"	"2019-03-20 02:26:13"	feed	4312450545057453.0	0	0	0
117	"香港代购lescar精致店"	"其他"	male	Lv.9	181	479	7573	"2018-12-01 14:25:00"	"2019-03-20 02:26:33"	feed	4312424242544350.0	0	0	0
118	"普里西拉香港"	"香港其他"	female	Lv.48	63	25722	41657	"2018-12-01 13:08:00"	"2019-03-20 02:26:53"	feed	4312404852077214.0	0	0	0
119	"普里西拉香港"	"香港其他"	female	Lv.48	63	25722	41657	"2018-12-01 13:07:00"	"2019-03-20 02:27:15"	feed	4312404722927016.0	0	0	0
120	"伊人香港代购"	"其他"	female	Lv.29	2036	760	13161	"2018-12-01 11:55:00"	"2019-03-20 02:27:36"	feed	4312386633133635.0	0	0	0
121	"杏仁不爱巧克力"	"海外"	female	Lv.48	485	382	619	"2018-12-01 10:45:00"	"2019-03-20 02:27:53"	feed	4312368890126237.0	0	2	0
122	"一米七的小胖墩yo"	"浙江"	female	Lv.28	641	1063	1018	"2018-12-01 09:49:00"	"2019-03-20 02:28:12"	feed	4312354873845131.0	0	0	0
123	"一只鹿香港代购海淘拼单"	"其他"	female	Lv.9	116	476	2147	"2018-12-01 07:16:00"	"2019-03-20 02:28:33"	feed	4312316210768914.0	0	0	0
124	"一只鹿香港代购海淘拼单"	"其他"	female	Lv.9	116	476	2147	"2018-12-01 07:16:00"	"2019-03-20 02:28:52"	feed	4312316184376606.0	0	0	0
125	"一只鹿香港代购海淘拼单"	"其他"	female	Lv.9	116	476	2147	"2018-12-01 07:15:00"	"2019-03-20 02:29:10"	feed	4312316167595807.0	0	0	0
126	"思想聚焦"	"广东广州"	male	Lv.48	1756	28921326	81074	"2019-03-19 23:57:00"	"2019-03-20 02:31:20"	feed	4351706148048623.0	1219	369	3052
127	"追风少年刘全有"	"安徽"	male	Lv.48	1511	14266884	25100	"2019-03-19 23:54:00"	"2019-03-20 02:31:33"	feed	4351705460208070.0	280	522	1402
128	"同道大叔"	"北京东城区"	male	Lv.48	985	17173276	14128	"2019-03-20 00:23:00"	"2019-03-20 02:32:01"	feed	4351712527254969.0	286	283	1635
129	"音乐铺子"	"广东广州"	male	Lv.48	173	1859018	17212	"2019-03-20 00:00:00"	"2019-03-20 02:32:17"	feed	4351706915439124.0	1149	37	638
130	"大连老湿王博文"	"广东"	male	Lv.48	79	3233801	4687	"2019-03-20 00:15:00"	"2019-03-20 02:32:36"	feed	4351710661130081.0	6	916	1284
131	"思想聚焦"	"广东广州"	male	Lv.48	1756	28921337	81074	"2019-03-19 23:57:00"	"2019-03-20 02:34:51"	feed	4351706148048623.0	1202	365	3004
132	"大连老湿王博文"	"广东"	male	Lv.48	79	3233803	4687	"2019-03-20 00:15:00"	"2019-03-20 02:35:07"	feed	4351710661130081.0	6	909	1269
133	"朱一龙"	"北京朝阳区"	male	Lv.41	216	14867567	631	"2019-03-19 23:59:00"	"2019-03-20 02:35:29"	feed	4351706559553655.0	154107	67870	71437
134	"头条新闻"	"no location"	female	Lv.48	1355	63555210	155325	"2019-03-19 23:50:00"	"2019-03-20 02:35:52"	feed	4351704234726633.0	84	198	665
135	"一支上上签"	"海外印尼"	female	Lv.46	1	8782246	9169	"2019-03-20 00:00:00"	"2019-03-20 02:36:12"	feed	4351706751323798.0	302	335	1756
136	"大连老湿王博文"	"广东"	male	Lv.48	79	3233806	4687	"2019-03-20 00:15:00"	"2019-03-20 02:38:20"	feed	4351710661130081.0	7	937	1345
137	"音乐铺子"	"广东广州"	male	Lv.48	173	1859025	17212	"2019-03-20 00:00:00"	"2019-03-20 02:38:35"	feed	4351706915439124.0	1170	40	659
138	"同道大叔"	"北京东城区"	male	Lv.48	985	17173281	14128	"2019-03-20 00:23:00"	"2019-03-20 02:39:00"	feed	4351712527254969.0	313	308	1751
139	"毛不易"	"北京"	male	Lv.34	430	12718845	522	"2019-03-19 23:53:00"	"2019-03-20 02:39:15"	feed	4351705140987795.0	1859	2119	6597
140	"追风少年刘全有"	"安徽"	male	Lv.48	1511	14266887	25100	"2019-03-19 23:54:00"	"2019-03-20 02:39:34"	feed	4351705460208070.0	283	526	1439
141	"思想聚焦"	"广东广州"	male	Lv.48	1756	28921354	81074	"2019-03-19 23:57:00"	"2019-03-20 02:41:47"	feed	4351706148048623.0	1199	364	2984
142	"头条新闻"	"no location"	female	Lv.48	1355	63555324	155325	"2019-03-19 23:50:00"	"2019-03-20 02:42:12"	feed	4351704234726633.0	82	197	661
143	"同道大叔"	"北京东城区"	male	Lv.48	985	17173286	14128	"2019-03-20 00:23:00"	"2019-03-20 02:42:38"	feed	4351712527254969.0	280	277	1566
144	"朱一龙"	"北京朝阳区"	male	Lv.41	216	14867586	631	"2019-03-19 23:59:00"	"2019-03-20 02:42:56"	feed	4351706559553655.0	152185	67696	71114
145	"娱乐扒皮叔"	"山东"	male	Lv.38	1119	4326545	4260	"2019-03-19 23:59:00"	"2019-03-20 02:43:18"	feed	4351706525739793.0	256	66	994
146	"全球热门视频"	"广东广州"	female	Lv.48	257	1362217	28018	"2019-03-19 23:00:00"	"2019-03-20 02:45:28"	feed	4351691849818926.0	1366	32	290
147	"韩国me2day"	"海外"	male	Lv.48	233	21171901	180201	"2019-03-19 23:08:00"	"2019-03-20 02:45:46"	feed	4351693670078842.0	1209	738	3523
148	"劉嘉玲"	"香港"	female	Lv.48	492	18631080	3464	"2019-03-19 23:06:00"	"2019-03-20 02:46:06"	feed	4351693342789439.0	42	98	1244
149	"同道大叔"	"北京东城区"	male	Lv.48	985	17173287	14128	"2019-03-19 23:30:00"	"2019-03-20 02:46:33"	feed	4351699210644041.0	229	413	1790
150	1LUVMYSELF	"其他"	male	Lv.4	2	283030	4	"2019-03-19 23:00:00"	"2019-03-20 02:46:53"	feed	4351691858227779.0	1607	2448	4598
151	1LUVMYSELF	"其他"	male	Lv.4	2	283029	4	"2019-03-19 23:00:00"	"2019-03-20 02:49:05"	feed	4351691858227779.0	1584	2426	4521
152	"劉嘉玲"	"香港"	female	Lv.48	492	18631083	3464	"2019-03-19 23:06:00"	"2019-03-20 02:49:21"	feed	4351693342789439.0	40	95	1190
153	"YouTube精彩视频"	"海外美国"	male	Lv.48	491	12498794	17304	"2019-03-19 23:05:00"	"2019-03-20 02:49:34"	feed	4351692977903995.0	1540	184	2077
154	"最神奇的视频"	"海外美国"	male	Lv.48	391	12487046	48409	"2019-03-19 23:15:00"	"2019-03-20 02:49:48"	feed	4351695590700928.0	1519	49	961
155	"同道大叔"	"北京东城区"	male	Lv.48	985	17173293	14128	"2019-03-19 23:30:00"	"2019-03-20 02:50:15"	feed	4351699210644041.0	221	401	1724
156	"毛不易"	"北京"	male	Lv.34	430	12718869	522	"2019-03-19 23:53:00"	"2019-03-20 02:52:18"	feed	4351705140987795.0	2003	2136	6764
157	"大连老湿王博文"	"广东"	male	Lv.48	79	3233806	4687	"2019-03-20 00:15:00"	"2019-03-20 02:52:37"	feed	4351710661130081.0	7	961	1394
158	"追风少年刘全有"	"安徽"	male	Lv.48	1511	14266888	25100	"2019-03-19 23:54:00"	"2019-03-20 02:52:58"	feed	4351705460208070.0	288	531	1487
159	"头条新闻"	"no location"	female	Lv.48	1355	63555495	155325	"2019-03-19 23:50:00"	"2019-03-20 02:53:22"	feed	4351704234726633.0	92	213	751
160	"音乐铺子"	"广东广州"	male	Lv.48	173	1859028	17213	"2019-03-20 00:00:00"	"2019-03-20 02:53:38"	feed	4351706915439124.0	1194	43	682
161	"追风少年刘全有"	"安徽"	male	Lv.48	1511	14266890	25100	"2019-03-19 23:54:00"	"2019-03-20 02:55:43"	feed	4351705460208070.0	280	522	1402
162	"一支上上签"	"海外印尼"	female	Lv.46	1	8782440	9169	"2019-03-20 00:00:00"	"2019-03-20 02:56:00"	feed	4351706751323798.0	307	339	1778
163	"娱乐扒皮叔"	"山东"	male	Lv.38	1119	4326545	4260	"2019-03-19 23:59:00"	"2019-03-20 02:56:20"	feed	4351706525739793.0	261	67	1009
164	"大连老湿王博文"	"广东"	male	Lv.48	79	3233807	4687	"2019-03-20 00:15:00"	"2019-03-20 02:56:36"	feed	4351710661130081.0	6	916	1284
